prompt,expected_domain,expected_intent
Show any reject or informational codes sent as part of the settlement to the pharmacy on claim 201533994612000 seq 004.,cap_api,settlement_info
I need to know which fills in the member with claim 201533994612000's history were refills versus original fills,claim_history_search,Refills
pull up every claim in the history that was a second fill or later for the member with claim 201533994612000,claim_history_search,Refills
filter claim history to show only fills marked as refill number 2 or higher for the member with claim 201533994612000,claim_history_search,Refills
show a breakdown of first fills versus refills across the member with claim 201533994612000's full prescription history,claim_history_search,Refills
"across all claims in the member with claim 201533994612000's history, how many were fill number 1 versus fill number 2 or above",claim_history_search,Refills
which of the member with claim 201533994612000's claims went through prior authorization,claim_history_search,PriorAuth
list all specialty drug claims in the member with claim 201533994612000's history that had a prior authorization attached,claim_history_search,PriorAuth
retrieve claims across the member with claim 201533994612000's history that show a Smart PA was applied,claim_history_search,PriorAuth
show claims filtered by PA approval status across the member with claim 201533994612000's full history,claim_history_search,PriorAuth
how many of the member with claim 201533994612000's claims required clinical prior authorization in the past 12 months,claim_history_search,PriorAuth
pull up all claims in the member with claim 201533994612000's history where PA was denied,claim_history_search,PriorAuth
display claims in the history gated by a member PA or plan PA requirement for the member with claim 201533994612000,claim_history_search,PriorAuth
which prescriptions in the member with claim 201533994612000's history bypassed the PA requirement via an override,claim_history_search,PriorAuth
show me claims where prior auth was still pending at the time of adjudication for the member with claim 201533994612000,claim_history_search,PriorAuth
filter the history to claims that passed PA review and were dispensed for the member with claim 201533994612000,claim_history_search,PriorAuth
which drugs in the member with claim 201533994612000's history map to diagnosis code E78.5 for hyperlipidemia,claim_history_search,Diagnosis
filter claim history by settlement response code 425 for the member with claim 201533994612000,claim_history_search,Settlement
which fills in the member with claim 201533994612000's history returned a settlement code of 001,claim_history_search,Settlement
retrieve all claims across the member with claim 201533994612000's history that carry pharmacy settlement response 200,claim_history_search,Settlement
display fills filtered by pharmacy response code 750 across the member with claim 201533994612000's full history,claim_history_search,Settlement
which of the member with claim 201533994612000's claims had a pharmacy settlement code of 500 returned,claim_history_search,Settlement
show all fills in the member with claim 201533994612000's history carrying settlement code 044,claim_history_search,Settlement
display fills in the member with claim 201533994612000's history filtered by settlement code 560,claim_history_search,Settlement
search the member with claim 201533994612000's claim history for any fills with settlement code 015 returned from the pharmacy,claim_history_search,Settlement
how many claims in the member with claim 201533994612000's history have a non-standard settlement code like 840,claim_history_search,Settlement
pull up claims in the history where pharmacy settlement code 403 was sent back for the member with claim 201533994612000,claim_history_search,Settlement
Show me all retail pharmacy claims for the member with claim 201533994612000,claim_history_search,PharmType
Filter the claim history to only mail-order fills for the member with claim 201533994612000,claim_history_search,PharmType
Pull up everything dispensed through a long-term care channel for the member with claim 201533994612000,claim_history_search,PharmType
Which of the member with claim 201533994612000's prescriptions were filled via home delivery?,claim_history_search,PharmType
Compounding pharmacy claims — the member with claim 201533994612000,claim_history_search,PharmType
Break down the member with claim 201533994612000's fills by pharmacy type across all their claims,claim_history_search,PharmType
Retail vs mail-order split for member's prescription history — can you filter that for the member with claim 201533994612000?,claim_history_search,PharmType
"LTC channel claims only please, member ID 334455667788000 for the member with claim 201533994612000",claim_history_search,PharmType
Are there any compound medication claims in the history for the member with claim 201533994612000?,claim_history_search,PharmType
I want to isolate just the mail order fills the member with claim 201533994612000 has had since January,claim_history_search,PharmType
Does the member with claim 201533994612000 have any home delivery claims on file?,claim_history_search,PharmType
Filter claim history: pharmacy channel = retail for the member with claim 201533994612000,claim_history_search,PharmType
"What pharmacy types appear in the member with claim 201533994612000's claims — retail, mail, specialty, anything else?",claim_history_search,PharmType
"Member's compounding claims history, any MIC breakdowns available for the member with claim 201533994612000?",claim_history_search,PharmType
I need claims billed under HMO1 for the member with claim 201533994612000,claim_history_search,Plan
Did the member with claim 201533994612000's plan change mid-year? Show me claims by plan across the history,claim_history_search,Plan
Claims billed to FRM1 vs HMO1 — can you split the history by insurance plan for the member with claim 201533994612000?,claim_history_search,Plan
What plan were the majority of the member with claim 201533994612000's prescriptions submitted under?,claim_history_search,Plan
How many different insurance plan codes appear across the member with claim 201533994612000's claim history?,claim_history_search,Plan
Claims under HMO1 for the last six months — member history search for the member with claim 201533994612000,claim_history_search,Plan
Search for all prescriptions processed under plan code MED3 in the member with claim 201533994612000's history,claim_history_search,Plan
Group the member with claim 201533994612000's claim history by plan code and show counts,claim_history_search,Plan
Which pharmacies has the member with claim 201533994612000 used across their claim history?,claim_history_search,Pharmacy
Find all claims for the member with claim 201533994612000 that were processed at CVS store #01234,claim_history_search,Pharmacy
Search the claim history for fills at any Walmart pharmacy location for the member with claim 201533994612000,claim_history_search,Pharmacy
NCPDP 1234567 — how many claims are in the member with claim 201533994612000's history from that store?,claim_history_search,Pharmacy
I need to know which pharmacy dispensed the most claims for the member with claim 201533994612000,claim_history_search,Pharmacy
Has the member with claim 201533994612000 ever filled at a specialty pharmacy called BioPlus? Check history.,claim_history_search,Pharmacy
CVS #00610 vs CVS #02345 — compare claim counts for the member with claim 201533994612000,claim_history_search,Pharmacy
Which CVS store location has processed the most fills for the member with claim 201533994612000?,claim_history_search,Pharmacy
Search claim history: pharmacy name contains 'Express Scripts' for the member with claim 201533994612000,claim_history_search,Pharmacy
Show me all the stores where the member with claim 201533994612000 has picked up prescriptions,claim_history_search,Pharmacy
Filter by dispensing pharmacy — I want only Kinney Drugs claims from the history for the member with claim 201533994612000,claim_history_search,Pharmacy
the member with claim 201533994612000 — find all claims processed at pharmacy NCPDP 9876543,claim_history_search,Pharmacy
Any claims from an out-of-network pharmacy in the member with claim 201533994612000's history?,claim_history_search,Pharmacy
"CVS #00610, how many total fills for member this year for the member with claim 201533994612000?",claim_history_search,Pharmacy
I want to isolate only Caremark mail service pharmacy claims in the history for the member with claim 201533994612000,claim_history_search,Pharmacy
How many claims in the member with claim 201533994612000's history were prescribed by Dr. Smith?,claim_history_search,Prescriber
Show all prescriptions written by Dr. Johnson for the member with claim 201533994612000,claim_history_search,Prescriber
Which doctors have prescribed medications for the member with claim 201533994612000 according to claim history?,claim_history_search,Prescriber
Search claim history: prescriber last name = Williams for the member with claim 201533994612000,claim_history_search,Prescriber
Who is the most frequent prescriber in the member with claim 201533994612000's claim history?,claim_history_search,Prescriber
"Prescriber NPI 1122334455, claims for the member with claim 201533994612000 from that provider",claim_history_search,Prescriber
Claims from a cardiologist named Dr. Lee across the member with claim 201533994612000's history,claim_history_search,Prescriber
How many unique prescribers appear in the member with claim 201533994612000's claim history this year?,claim_history_search,Prescriber
Filter by ordering physician — show only claims from NPI 3344556677 in history for the member with claim 201533994612000,claim_history_search,Prescriber
Any prescriptions written by a provider named Roberts in the member with claim 201533994612000's history?,claim_history_search,Prescriber
the member with claim 201533994612000 — group claim history by prescriber and give counts,claim_history_search,Prescriber
How many of the member with claim 201533994612000's fills came from out-of-state prescribers?,claim_history_search,Prescriber
"Prescriber name = Dr. Huang, filter all matching records from member claim history for the member with claim 201533994612000",claim_history_search,Prescriber
Which prescriber wrote the most Rx claims for the member with claim 201533994612000 in the last 12 months?,claim_history_search,Prescriber
Ingredient cost trend for MUGARD — show across all dispensed claims for the member with claim 201533994612000,claim_history_search,Pricing
Claims history pricing breakdown for MUGARD — all fills the member with claim 201533994612000,claim_history_search,Pricing
I need to see the patient pay for every MUGARD fill the member with claim 201533994612000 has had,claim_history_search,Pricing
MEDD pricing for MUGARD across the member with claim 201533994612000's full claim history,claim_history_search,Pricing
What has the plan paid vs member paid for MUGARD across all claims in history for the member with claim 201533994612000?,claim_history_search,Pricing
What is the highest single copay the member with claim 201533994612000 has ever paid in their claims history?,claim_history_search,Pricing
which fills are currently showing a rejected adjudication status for the member with claim 201533994612000,claim_history_search,Status
filter by claim status code R across the member with claim 201533994612000's entire prescription history,claim_history_search,Status
display claims in closed status for the member with claim 201533994612000,claim_history_search,Status
retrieve all claims that hit reject code DG across the member with claim 201533994612000's history,claim_history_search,RejectCode
pull up all fills that returned reject code M1 in the adjudication response for the member with claim 201533994612000,claim_history_search,RejectCode
were there any claims in the history that came back with a 3G reject code for the member with claim 201533994612000,claim_history_search,RejectCode
display fills across the full history that were turned away with reject FQ for the member with claim 201533994612000,claim_history_search,RejectCode
break down the member with claim 201533994612000's rejected claims by NCPDP reject code,claim_history_search,RejectCode
show every instance in the claim history where NCPDP rejection code 8C was returned for the member with claim 201533994612000,claim_history_search,RejectCode
pull up the most recent MUGARD claim date for the member with claim 201533994612000,claim_history_search,DrugLast
show the most recent service date across all MUGARD claims for the member with claim 201533994612000,claim_history_search,DrugLast
list every prescription dispensed during the month of April for the member with claim 201533994612000,claim_history_search,Month
pull up claim records from June only for the member with claim 201533994612000,claim_history_search,Month
what medications did the member with claim 201533994612000 receive in July,claim_history_search,Month
show me everything processed in August for the member with claim 201533994612000,claim_history_search,Month
narrow the history results to claims submitted or adjudicated in October for the member with claim 201533994612000,claim_history_search,Month
I want to see the drug fills from last March in the claim history for the member with claim 201533994612000,claim_history_search,Month
show me all claims adjudicated in the month of September 2024 for the member with claim 201533994612000,claim_history_search,Month
which claims were processed in January 2025 for the member with claim 201533994612000,claim_history_search,Month
show claim 201533994612000 from the member's prescription history,claim_history_search,ClaimNum
claim 201533994612000 — show me that entry from the claim list,claim_history_search,ClaimNum
look up claim number 201533994612000 and tell me about it,claim_history_search,ClaimNum
fetch claim 201533994612000 from the member's prescription records,claim_history_search,ClaimNum
find claim 201533994612000 in the history and show its status,claim_history_search,ClaimNum
display claim 201533994612000 from the member's claim list,claim_history_search,ClaimNum
pull claim number 201533994612000 from the member's fills,claim_history_search,ClaimNum
I need to see every claim tied to national drug code 00006-0749-31 across the member with claim 201533994612000's history,claim_history_search,NDC
Can you pull all fills where the NDC was 00071-0155-23 for the member with claim 201533994612000?,claim_history_search,NDC
00378-2160-05 NDC — list every claim that matched this code in the member with claim 201533994612000's file,claim_history_search,NDC
Look through the member with claim 201533994612000's history and find any claim with national drug code 68462-0168-01,claim_history_search,NDC
I want the full list of adjudicated claims where NDC equals 00003-0895-20 for the member with claim 201533994612000,claim_history_search,NDC
Cross-reference the member with claim 201533994612000's PDE records against NDC 00169-4175-11,claim_history_search,NDC
Gimme all claims where the NDC was 00085-0019-01 for member number 400223344 for the member with claim 201533994612000,claim_history_search,NDC
Run an NDC filter — 45963-0483-11 — and show me everything in the member with claim 201533994612000's history,claim_history_search,NDC
Show claim history filtered by NDC 00069-0150-41 over the last plan year for the member with claim 201533994612000,claim_history_search,NDC
"Member history search: NDC 72606-0130-01, all dates, all pharmacies for the member with claim 201533994612000",claim_history_search,NDC
Filter the member with claim 201533994612000 claims by NDC — looking for 00781-1888-31 specifically,claim_history_search,NDC
I have an NDC: 43598-0290-05. Can you find all the claims for the member with claim 201533994612000 that used it?,claim_history_search,NDC
How many Pfizer fills does the member with claim 201533994612000 have in their history?,claim_history_search,Manufacturer
"All Cipla fills across the member with claim 201533994612000's claim history, please",claim_history_search,Manufacturer
Search the full claim history for any Merck-manufactured drugs dispensed to the member with claim 201533994612000,claim_history_search,Manufacturer
Identify all West-Ward manufactured claims in the member with claim 201533994612000's history,claim_history_search,Manufacturer
Filter the member with claim 201533994612000's claim history to only Breckenridge Pharmaceutical products,claim_history_search,Manufacturer
I want to see every non-branded fill across the member with claim 201533994612000's entire claim history,claim_history_search,Generic
How many generic substitutions did the member with claim 201533994612000 have in the last plan year?,claim_history_search,Generic
Give me a list of all DAW code 1 overrides or generic claims for the member with claim 201533994612000,claim_history_search,Generic
"Search the claim history — I only want the multi-source generics, not brand for the member with claim 201533994612000",claim_history_search,Generic
Filter by drug type: generic — pull all records for the member with claim 201533994612000,claim_history_search,Generic
I need the full list of GPI-matched generic fills in the member with claim 201533994612000's PBM history,claim_history_search,Generic
Narrow down the claim history to only non-proprietary drug fills for the member with claim 201533994612000,claim_history_search,Generic
Run a claim history search for all tier-1 generic utilization for the member with claim 201533994612000,claim_history_search,Generic
Generics only — filter the member with claim 201533994612000's claim history accordingly,claim_history_search,Generic
Which claims in the member with claim 201533994612000's history had a DAW code indicating a generic was dispensed?,claim_history_search,Generic
List all ANDA-approved generic fills from the full claim history for the member with claim 201533994612000,claim_history_search,Generic
"Pull claim history, filter to generic only — I want NDC, date of service, and cost share for each for the member with claim 201533994612000",claim_history_search,Generic
Filter the member with claim 201533994612000's claim history to proprietary brand fills only,claim_history_search,Brand
How many brand-only fills does the member with claim 201533994612000 have on record?,claim_history_search,Brand
Give me all DAW 1 or DAW 2 claims in the member with claim 201533994612000's history where the brand was dispensed,claim_history_search,Brand
Narrow the claim history search to NDA-approved brand drugs for the member with claim 201533994612000,claim_history_search,Brand
Which of the member with claim 201533994612000's claims were for a brand drug that had a generic available?,claim_history_search,Brand
List all BPG-tier brand fills from the member with claim 201533994612000's full claim history,claim_history_search,Brand
I want a count of specialty brand drug fills in the member with claim 201533994612000's claim records,claim_history_search,Brand
Show claims where the member with claim 201533994612000 received a brand drug despite a generic equivalent existing on formulary,claim_history_search,Brand
Which brand name drugs were dispensed to the member with claim 201533994612000 over the last 24 months? Pull from history.,claim_history_search,Brand
All tier-2 and tier-3 brand claims for the member with claim 201533994612000 from the full history,claim_history_search,Brand
Run a brand drug filter across the member with claim 201533994612000's PBM claim history,claim_history_search,Brand
How many of the member with claim 201533994612000's claims involved a formulary brand product? Show me the list.,claim_history_search,Brand
"Show the member with claim 201533994612000 all brand fills — include cost share, date of service, and prescriber NPI",claim_history_search,Brand
Show me the member with claim 201533994612000's claim history from 01/01/2025 through 06/30/2025,claim_history_search,date_range_claims
Date range filter: 03/15/2024 to 09/15/2024 — pull all claims for the member with claim 201533994612000,claim_history_search,date_range_claims
Show a cross-claim analysis of all fills from July through December 2024 for the member with claim 201533994612000,claim_history_search,date_range_claims
the member with claim 201533994612000: retrieve every claim processed in the 12-month period ending 12/31/2024,claim_history_search,date_range_claims
Filter the claim history from the past plan year — specifically anything that hit the MEDD or TrOOP for the member with claim 201533994612000,claim_history_search,date_range_claims
List all claims for the member with claim 201533994612000 filed between April 2025 and the current date,claim_history_search,date_range_claims
Pull the member with claim 201533994612000's entire claim history for 2024 — I want to trace TrOOP accumulation quarter by quarter,claim_history_search,date_range_claims
Which of the member with claim 201533994612000's claims fell within the creditable coverage period of 01/01/2025–12/31/2025?,claim_history_search,date_range_claims
I'm doing a PDE reconciliation — need all claims between 01/01/2024 and 06/30/2024 for the member with claim 201533994612000,claim_history_search,date_range_claims
What's the full list of adjudicated claims for the member with claim 201533994612000 between Q3 and Q4 last year?,claim_history_search,date_range_claims
Run a claim history search for date of service between 02/01/2025 and 05/31/2025 — I need to check deductible and LICS phase transitions for the member with claim 201533994612000,claim_history_search,date_range_claims
Hello there!,general,greeting
Hi!,general,greeting
Good morning,general,greeting
Good afternoon,general,greeting
Good evening,general,greeting
Howdy!,general,greeting
Greetings!,general,greeting
"Hey, how's it going?",general,greeting
"Hi, good to be here",general,greeting
Hello! Nice to meet you.,general,greeting
Good day!,general,greeting
Hey hey hey,general,greeting
"Hi there, hope you're well",general,greeting
Yo!,general,greeting
Hello hello,general,greeting
"Good morning, hope the day is going well",general,greeting
Salutations!,general,greeting
Hiya!,general,greeting
"Hey, just dropping in to say hi",general,greeting
What steps should I follow to avoid claim rejection?,general,help
What are the common reasons my claims get denied?,general,help
How do I file a pharmacy claim without errors?,general,help
How do I avoid getting my claim rejected?,general,help
What are the best practices for submitting a clean claim?,general,help
I'm new here — what should I know about filing claims correctly?,general,help
What is 347 multiplied by 89?,general,out_of_scope
asdjklasd fjklasjdf lkajsdf,general,out_of_scope
Can you recommend a good Netflix show?,general,out_of_scope
Write me a poem about autumn leaves,general,out_of_scope
blorp zizzle flonk wonk,general,out_of_scope
What time is it in Tokyo right now?,general,out_of_scope
Tell me a joke,general,out_of_scope
Retrieve transition fill type and Member PA details applied to claim 201533994612000 seq 004.,cap_api,approval_info
Retrieve the TrOOP amount and current benefit phase for the member on claim 201533994612000 sequence 004.,cap_api,beneficiary_info
Show all details for claim 201533994612000 sequence 004 — what happened during processing?,cap_api,claim_status
compound drug formulation details — claim 201533994612000 sequence 004,cap_api,compound_info
Were there any drug interaction alerts on claim 201533994612000 sequence 004?,cap_api,drug_interaction_info
Show me the DUR edits triggered for claim 201533994612000 seq 004,cap_api,drug_interaction_info
Did claim 201533994612000 seq 004 flag any therapeutic duplication?,cap_api,drug_interaction_info
DUR results for claim 201533994612000 sequence 004 — any clinical alerts?,cap_api,drug_interaction_info
Did the pharmacist override a drug-drug interaction alert on claim 201533994612000 sequence 004?,cap_api,drug_interaction_info
Were there any DDI or DUR edits adjudicated on claim 201533994612000 seq 004?,cap_api,drug_interaction_info
Did claim 201533994612000 seq 004 trigger any drug-drug or drug-disease interaction alerts during adjudication?,cap_api,drug_interaction_info
"Were DUR clinical edits overridden on claim 201533994612000 seq 004, and if so what were the codes?",cap_api,drug_interaction_info
"List all DUR edits, drug interaction flags, and clinical screening results for claim 201533994612000 seq 004",cap_api,drug_interaction_info
When was the prescription dispensed on claim 201533994612000 seq 004?,cap_api,fill_date_info
I need the dispensing date for claim 201533994612000 seq 004,cap_api,fill_date_info
I want to confirm when the pharmacy dispensed the medication on claim 201533994612000 sequence 004,cap_api,fill_date_info
Show me the fill date for claim 201533994612000 seq 004,cap_api,fill_date_info
What was the network reimbursement type for claim 201533994612000 seq 004 — standard MAC network or specialty network?,cap_api,network_info
I see claim 201533994612000 seq 004 has a denial status — can you pull the rejection codes and describe how to override them?,cap_api,rejection_reasons
which prescriptions are showing as overdue for a refill based on the member with claim 201533994612000's fill timeline,claim_history_search,Refills
give me the complete list of drugs the member with claim 201533994612000 received in November — filter by that month only,claim_history_search,Month
How many times did the member with claim 201533994612000 fill a generic versus a brand in the past two years?,claim_history_search,Generic
Provide the PA summary including effective dates and drug coverage for PA100123456.,override_domain,pa_summary
Show a high-level overview of PA override PA200234567.,override_domain,pa_summary
What are the key fields on PA300345678?,override_domain,pa_summary
"PA summary — PA400456789, give me the TLDR.",override_domain,pa_summary
Summary of prior authorization PA500567890.,override_domain,pa_summary
Will PA100123456 fix the reject 75 on this claim?,override_domain,pa_override_reject
Does PA200234567 override reject 70 plan exclusion?,override_domain,pa_override_reject
Can PA300345678 clear a reject 75 or 76?,override_domain,pa_override_reject
Will PA400456789 resolve a 76 plan limits issue?,override_domain,pa_override_reject
Does PA500567890 handle reject 70 when it is plan exclusion?,override_domain,pa_override_reject
Explain what the authorized drug type field does on PA100123456.,override_domain,pa_field_help
What does the PA reason code field control on PA200234567?,override_domain,pa_field_help
What is the clinical admin code field used for on a PA?,override_domain,pa_field_help
Why would someone populate the send expiration date field on a PA?,override_domain,pa_field_help
Help me understand the skip deductible field on PA500567890.,override_domain,pa_field_help
Does PA100123456 copay modify the claim price?,override_domain,pa_copay_pricing
How does the copay on PA200234567 affect the member's out-of-pocket?,override_domain,pa_copay_pricing
Will the PA copay override on PA300345678 change what the member pays?,override_domain,pa_copay_pricing
Does the copay on PA400456789 change the patient pay amount?,override_domain,pa_copay_pricing
Show me the pricing impact of the copay override on PA500567890.,override_domain,pa_copay_pricing
List the drugs that PA100123456 authorizes.,override_domain,pa_drug_coverage
Does PA200234567 cover GABAPENTIN?,override_domain,pa_drug_coverage
What drugs fall under PA300345678?,override_domain,pa_drug_coverage
Show the GPI coverage on PA400456789.,override_domain,pa_drug_coverage
Which medications are authorized under PA500567890?,override_domain,pa_drug_coverage
How many times was PA100123456 applied to a claim?,override_domain,pa_claim_usage
Claim count for PA200234567.,override_domain,pa_claim_usage
What is the volume of claims using PA300345678?,override_domain,pa_claim_usage
How frequently is PA400456789 being applied?,override_domain,pa_claim_usage
Total claim volume for PA500567890.,override_domain,pa_claim_usage
What is the reason code on PA100123456?,override_domain,pa_reason_code
Is PA200234567 using reason code OD?,override_domain,pa_reason_code
Override reason for PA300345678.,override_domain,pa_reason_code
Show me the reason code on PA400456789.,override_domain,pa_reason_code
Is the reason code U1 or LC on PA500567890?,override_domain,pa_reason_code
Effective dates on PA100123456 — start to finish.,override_domain,pa_effective_dates
Is PA200234567 still within its valid period?,override_domain,pa_effective_dates
When does PA300345678 expire?,override_domain,pa_effective_dates
Display the dateBegin and dateEnd for PA400456789.,override_domain,pa_effective_dates
Is PA500567890 expired?,override_domain,pa_effective_dates
Who entered PA100123456? Check the agent code.,override_domain,pa_agent_code
Agent code on PA200234567 — A or C?,override_domain,pa_agent_code
Was PA300345678 auto-generated or manually created?,override_domain,pa_agent_code
Display the agent code for PA400456789.,override_domain,pa_agent_code
Who created PA500567890 based on the agent code?,override_domain,pa_agent_code
Ignore status on PA100123456 — Y or N?,override_domain,pa_ignore_status
Is PA200234567 set to ignore the drug status?,override_domain,pa_ignore_status
Show the ignoreStatusCode on PA300345678.,override_domain,pa_ignore_status
Is the ignore status flag active on PA400456789?,override_domain,pa_ignore_status
What is the ignore status setting on PA500567890?,override_domain,pa_ignore_status
Is the specialty Rx override turned on for PA100123456?,override_domain,pa_specialty_rx_override
Does PA200234567 bypass the specialty reject?,override_domain,pa_specialty_rx_override
Show the specialty override indicator on PA300345678.,override_domain,pa_specialty_rx_override
Is specialty override enabled on PA400456789?,override_domain,pa_specialty_rx_override
Will PA500567890 clear a specialty prescription reject?,override_domain,pa_specialty_rx_override
What is the clinical admin code on PA100123456?,override_domain,pa_clinical_admin_code
Is the clinical admin code blank or A on PA200234567?,override_domain,pa_clinical_admin_code
Show the clinicalAdministrationCode on PA300345678.,override_domain,pa_clinical_admin_code
Does PA400456789 have a clinical administration code set?,override_domain,pa_clinical_admin_code
What clinical admin code is on PA500567890?,override_domain,pa_clinical_admin_code
Transform care type on PA100123456?,override_domain,pa_transform_care
Is PA200234567 set up with a transform care program?,override_domain,pa_transform_care
Show the transformCare field on PA300345678.,override_domain,pa_transform_care
What care transformation type is on PA400456789?,override_domain,pa_transform_care
Is transform care configured on PA500567890?,override_domain,pa_transform_care
Does PA100123456 follow the member across plan changes?,override_domain,pa_follow_me_logic
Is follow me logic active on PA200234567?,override_domain,pa_follow_me_logic
Will PA300345678 carry over during a plan transition?,override_domain,pa_follow_me_logic
Show the followMeLogicIndicator on PA400456789.,override_domain,pa_follow_me_logic
Is follow me turned on for PA500567890?,override_domain,pa_follow_me_logic
Drug type indicator on PA100123456 — GPI or NDC?,override_domain,pa_drug_type_indicator
Is PA200234567 set to G or N for drug type?,override_domain,pa_drug_type_indicator
How does PA300345678 match authorized drugs?,override_domain,pa_drug_type_indicator
Show the authorizedDrugType for PA400456789.,override_domain,pa_drug_type_indicator
Is PA500567890 using GPI-level matching?,override_domain,pa_drug_type_indicator
When was PA100123456 last modified?,override_domain,pa_modification_history
Show the modifyDateTime on PA200234567.,override_domain,pa_modification_history
Has PA300345678 been changed recently?,override_domain,pa_modification_history
Last modified timestamp on PA400456789.,override_domain,pa_modification_history
When was PA500567890 last updated?,override_domain,pa_modification_history
How do I bypass step therapy on a PA override?,override_domain,pa_contingent_therapy_override
Flip the bypass contingent therapy flag to Y on PA100123456.,override_domain,pa_contingent_therapy_override
The claim is failing contingent therapy — how do I fix it with the PA?,override_domain,pa_contingent_therapy_override
How to override the contingent therapy edit on PA200234567?,override_domain,pa_contingent_therapy_override
Member needs step therapy waived — what do I set on the PA?,override_domain,pa_contingent_therapy_override
How do I bypass Smart PA processing on a PA override?,override_domain,pa_smart_pa_override
Set bypass Smart PA to Y on PA100123456.,override_domain,pa_smart_pa_override
The claim needs Smart PA but we want to bypass it — how?,override_domain,pa_smart_pa_override
Smart PA is blocking this claim — how to get around it with a PA?,override_domain,pa_smart_pa_override
Enter the Smart PA criteria number on PA200234567.,override_domain,pa_smart_pa_override
Route this claim to Medicare Part B — which PA reason code?,override_domain,pa_part_b_override
How do I set up a PA with reason code MB for Part B?,override_domain,pa_part_b_override
This claim needs to pay under Part B — how do I set the PA?,override_domain,pa_part_b_override
Part B override using reason MB on PA100123456.,override_domain,pa_part_b_override
Set override reason MB for Part-B processing on PA200234567.,override_domain,pa_part_b_override
How do I override an ESRD rejection with a PA?,override_domain,pa_esrd_override
Set PA reason code ES to bypass ESRD on PA100123456.,override_domain,pa_esrd_override
The ESRD edit is blocking the claim — which PA reason code?,override_domain,pa_esrd_override
ESRD reject bypass — set up PA with reason ES on PA200234567.,override_domain,pa_esrd_override
Which PA reason code overrides End-Stage Renal Disease?,override_domain,pa_esrd_override
How do I skip the deductible using a PA override?,override_domain,pa_skip_deductible
Set skip DED to Y on PA100123456.,override_domain,pa_skip_deductible
Is there a PA flag that bypasses the deductible for this member?,override_domain,pa_skip_deductible
Flip the skip deductible indicator to Y on PA200234567.,override_domain,pa_skip_deductible
How to waive the deductible using PA300345678?,override_domain,pa_skip_deductible
How do I send the PA expiration date on the claim?,override_domain,pa_send_expiration
Set the send expiration date flag to Y on PA100123456.,override_domain,pa_send_expiration
The PA end date is not transmitting — how to fix it on PA200234567?,override_domain,pa_send_expiration
Enable send expiration on PA300345678 so the date goes to the claim.,override_domain,pa_send_expiration
How do I include the PA end date during claim adjudication?,override_domain,pa_send_expiration
How do I set up a TF letter tag on a PA override?,override_domain,pa_tf_letter_setup
Configure the Transition Fill letter type on PA100123456.,override_domain,pa_tf_letter_setup
Which TF letter type should I use with this PA?,override_domain,pa_tf_letter_setup
Add a TF letter to PA200234567 — what type should I select?,override_domain,pa_tf_letter_setup
Transition Fill letter setup on PA300345678.,override_domain,pa_tf_letter_setup
How do I configure a different copay on a PA override?,override_domain,pa_copay_setup
Set up a custom copay schedule on PA100123456.,override_domain,pa_copay_setup
The member needs a lower copay — how to set it up via the PA?,override_domain,pa_copay_setup
Change the copay processing via PA200234567.,override_domain,pa_copay_setup
Configure a copay override schedule on PA300345678.,override_domain,pa_copay_setup
What PA should I use to fix this reject?,override_domain,pa_suggest_override
Suggest the right override for this rejection.,override_domain,pa_suggest_override
Which PA resolves a reject 75?,override_domain,pa_suggest_override
I need a PA recommendation — claim is rejecting for code 70.,override_domain,pa_suggest_override
What override should I create to get this claim through?,override_domain,pa_suggest_override
What fields do I need for PA reason code OD?,override_domain,pa_reason_code_fields
Which PA fields are required for override reason U1?,override_domain,pa_reason_code_fields
Fields needed for reason code MB on a PA override.,override_domain,pa_reason_code_fields
What do I configure when reason code ES is selected?,override_domain,pa_reason_code_fields
Which fields apply to PA reason code OA?,override_domain,pa_reason_code_fields
