text,actual_intent,predicted_intent,intent_match,actual_domain,predicted_domain,domain_match
Where was the medication dispensed for claim 222492018072002 sequence 001?,pharmacy_info,pharmacy_info,True,cap_api,claim_history_search,False
Pharmacy details for claim 222492117457002 sequence 001.,pharmacy_info,pharmacy_info,True,cap_api,cap_api,True
Filling pharmacy information for claim 230381673488000 sequence 001.,pharmacy_info,pharmacy_info,True,cap_api,claim_history_search,False
Pharmacy city and state for claim 230624075311000 sequence 002.,pharmacy_info,pharmacy_info,True,cap_api,cap_api,True
Which pharmacy filled claim 231181462825000 sequence 001?,pharmacy_info,pharmacy_info,True,cap_api,cap_api,True
Who prescribed the medication on claim 130041467416065 sequence 001?,drug_info,prescriber_info,False,claim_history_search,claim_history_search,True
Prescriber details for claim 132435151040074 sequence 001.,rx_details,prescriber_info,False,cap_api,cap_api,True
Physician information for claim 150692388845000 sequence 001.,rx_details,prescriber_info,False,cap_api,cap_api,True
Doctor's name for claim 160060096136030 sequence 001.,rx_details,prescriber_info,False,cap_api,cap_api,True
Which physician wrote the prescription for claim 180571470939000 sequence 001?,drug_info,prescriber_info,False,claim_history_search,claim_history_search,True
Prescriber NPI for claim 191406379285000 sequence 001.,rx_details,prescriber_info,False,cap_api,cap_api,True
Prescriber information for claim 201752592251000 sequence 001.,rx_details,drug_info,False,cap_api,claim_history_search,False
Physician report for claim 201990819198000 sequence 001.,drug_interaction_info,claim_status,False,claim_history_search,claim_history_search,True
Prescriber's name and credentials for claim 220133725669000 sequence 001.,rx_details,prescriber_info,False,cap_api,cap_api,True
Who ordered the medication on claim 221172865083001 sequence 001?,pharmacy_info,prescriber_info,False,cap_api,claim_history_search,False
Prescribing physician information for claim 221663541811000 sequence 001.,rx_details,prescriber_info,False,cap_api,claim_history_search,False
Prescriber NPI and name for claim 221775171449000 sequence 003.,drug_info,prescriber_info,False,claim_history_search,cap_api,False
Doctor's details for claim 222492018072002 sequence 001.,rx_details,prescriber_info,False,cap_api,cap_api,True
Prescribing physician for claim 230381673488000 sequence 001.,drug_info,prescriber_info,False,claim_history_search,claim_history_search,True
Ordering provider information for claim 230624075311000 sequence 002.,pharmacy_info,prescriber_info,False,cap_api,cap_api,True
Prescriber name for claim 231181462825000 sequence 001.,rx_details,prescriber_info,False,cap_api,claim_history_search,False
Pricing breakdown for claim 240060164045000 sequence 001.,pricing_info,pricing_info,True,cap_api,cap_api,True
Copay calculation for claim 242831738080166 sequence 001.,pricing_info,pricing_info,True,cap_api,cap_api,True
Ingredient cost and fees for claim 252460261210000 sequence 001.,pricing_info,compound_info,False,cap_api,claim_history_search,False
Pricing schedule used for claim 252621948076000 sequence 001.,pricing_info,pricing_info,True,cap_api,cap_api,True
Patient pay details for claim 240051073172000 sequence 001.,pricing_info,reimbursement_info,False,cap_api,cap_api,True
Final out-of-pocket amount for claim 240060164045000 sequence 001.,pricing_info,pricing_info,True,cap_api,cap_api,True
All pricing components for claim 242831738080166 sequence 001.,pricing_info,pricing_info,True,cap_api,cap_api,True
Co-pay modifier impact on claim 252460261210000 sequence 001.,pricing_info,cob_info,False,cap_api,cap_api,True
Pricing summary for claim 240051073172000 sequence 001.,pricing_info,pricing_info,True,cap_api,cap_api,True
Cost of claim 240060164045000 sequence 001.,pricing_info,pricing_info,True,cap_api,cap_api,True
How much was paid on claim 242831738080166 sequence 001?,reimbursement_info,pricing_info,False,cap_api,cap_api,True
Pricing details for claim 252460261210000 sequence 001.,pricing_info,pricing_info,True,cap_api,cap_api,True
Final copay amount for claim 240051073172000 sequence 001.,pricing_info,pricing_info,True,cap_api,cap_api,True
Pricing information for claim 240060164045000 sequence 001.,pricing_info,pricing_info,True,cap_api,cap_api,True
Approved ingredient cost for claim 242831738080166 sequence 001.,compound_info,compound_info,True,claim_history_search,claim_history_search,True
PA summary for claim 251271743818195 sequence 001.,claim_status,claim_status,True,cap_api,claim_history_search,False
PA approval details for claim 253603736282009 sequence 001.,approval_info,daw_info,False,benefits_api,claim_history_search,False
PA type and approval for claim 201990819198000 sequence 001.,approval_info,prior_auth_info,False,benefits_api,benefits_api,True
Authorization details for claim 220133725669000 sequence 001.,approval_info,prior_auth_info,False,benefits_api,benefits_api,True
Reimbursement details for claim 130041467416065 sequence 001.,reimbursement_info,reimbursement_info,True,cap_api,cap_api,True
What was reimbursed on claim 132435151040074 sequence 001?,reimbursement_info,government_claim_type,False,cap_api,cap_api,True
Payment information for claim 150692388845000 sequence 001.,reimbursement_info,reimbursement_info,True,cap_api,cap_api,True
Reimbursement amount for claim 160060096136030 sequence 001.,reimbursement_info,reimbursement_info,True,cap_api,cap_api,True
What was paid on claim 180571470939000 sequence 001?,reimbursement_info,pricing_info,False,cap_api,cap_api,True
Reimbursement breakdown for claim 191406379285000 sequence 001.,reimbursement_info,reimbursement_info,True,cap_api,cap_api,True
Payment details for claim 201503823714118 sequence 001.,reimbursement_info,reimbursement_info,True,cap_api,cap_api,True
Payment summary for claim 201990819198000 sequence 001.,reimbursement_info,reimbursement_info,True,cap_api,cap_api,True
Reimbursed amount for claim 211263773300000 sequence 004.,reimbursement_info,reimbursement_info,True,cap_api,cap_api,True
Payment calculation for claim 220133725669000 sequence 001.,reimbursement_info,reimbursement_info,True,cap_api,cap_api,True
Reimbursement rationale for claim 220992183436835 sequence 002.,reimbursement_info,approval_info,False,cap_api,cap_api,True
Why was this amount reimbursed on claim 221172865083001 sequence 001?,reimbursement_info,reimbursement_info,True,cap_api,cap_api,True
Payment details for paper claim 221663541811000 sequence 001.,reimbursement_info,reimbursement_info,True,cap_api,cap_api,True
Reimbursement report for claim 221775171449000 sequence 003.,reimbursement_info,reimbursement_info,True,cap_api,cap_api,True
Payment information for claim 222492018072002 sequence 001.,reimbursement_info,reimbursement_info,True,cap_api,cap_api,True
Reimbursement summary for claim 222492117457002 sequence 001.,approval_info,reimbursement_info,False,benefits_api,cap_api,False
What was the pharmacy paid for claim 230381673488000 sequence 001?,pharmacy_info,pricing_info,False,cap_api,cap_api,True
Reimbursement calculation for claim 230624075311000 sequence 002.,reimbursement_info,reimbursement_info,True,cap_api,cap_api,True
Payment breakdown for claim 231181462825000 sequence 001.,reimbursement_info,pricing_info,False,cap_api,cap_api,True
Why was claim 130041467416065 sequence 001 rejected?,rejection_reasons,rejection_reasons,True,cap_api,cap_api,True
Rejection reasons for claim 150692388845000 sequence 001.,rejection_reasons,rejection_reasons,True,cap_api,cap_api,True
What edits caused claim 160060096136030 sequence 001 to reject?,rejection_reasons,rejection_reasons,True,cap_api,benefits_api,False
Rejection details for claim 191406379285000 sequence 001.,rejection_reasons,rejection_reasons,True,cap_api,benefits_api,False
List of rejection codes for claim 221775171449000 sequence 003.,rejection_reasons,rejection_reasons,True,cap_api,cap_api,True
Why was claim 230381673488000 sequence 001 denied?,rejection_reasons,rejection_reasons,True,cap_api,benefits_api,False
Rejection explanation for claim 241770599260003 sequence 001.,rejection_reasons,rejection_reasons,True,cap_api,cap_api,True
Failed edits for claim 241771076695002 sequence 001.,rejection_reasons,rejection_reasons,True,cap_api,benefits_api,False
Reason codes for the rejection of claim 242005504278000 sequence 001.,rejection_reasons,rejection_reasons,True,cap_api,cap_api,True
Rejection rationale for claim 242055403386000 sequence 001.,rejection_reasons,rejection_reasons,True,cap_api,cap_api,True
Specific edits that led to rejection of claim 242772404022000 sequence 003.,rejection_reasons,rejection_reasons,True,cap_api,cap_api,True
Denial reasons for claim 243102333796000 sequence 003.,rejection_reasons,rejection_reasons,True,cap_api,benefits_api,False
Claim 243122443413000 sequence 001 rejection breakdown.,rejection_reasons,rejection_reasons,True,cap_api,cap_api,True
Which edits triggered the rejection for claim 251283249876195 sequence 001?,rejection_reasons,rejection_reasons,True,cap_api,cap_api,True
Details on why claim 252611736720000 sequence 002 was not accepted.,rejection_reasons,rejection_reasons,True,cap_api,benefits_api,False
Rejection information for claim 252964403388000 sequence 001.,rejection_reasons,rejection_reasons,True,cap_api,cap_api,True
Failed edit codes for claim 252965483598001 sequence 001.,rejection_reasons,rejection_reasons,True,cap_api,benefits_api,False
Summary of rejection reasons for claim 130041467416065 sequence 001.,rejection_reasons,rejection_reasons,True,cap_api,cap_api,True
What can be done to fix rejected claim 150692388845000 sequence 001?,rejection_reasons,rejection_reasons,True,cap_api,cap_api,True
How to resolve rejected claim 160060096136030 sequence 001?,rejection_reasons,rejection_reasons,True,cap_api,benefits_api,False
Was claim 231181462825000 sequence 001 reversed?,claim_status,claim_status,True,cap_api,benefits_api,False
Reversal details for claim 240060164045000 sequence 001.,reversal_info,reversal_info,True,cap_api,benefits_api,False
Adjustments made to claim 242831720377166 sequence 002.,reversal_info,reversal_info,True,cap_api,benefits_api,False
R&R information for claim 242905816136000 sequence 001.,claim_status,approval_info,False,cap_api,cap_api,True
Manual adjustment details for claim 251838615925008 sequence 001.,audit_info,reversal_info,False,benefits_api,benefits_api,True
Is claim 253136857840000 sequence 001 a reversal?,reversal_info,reversal_info,True,cap_api,cap_api,True
Reversal and resubmission details for claim 253361498968006 sequence 017.,reversal_info,reversal_info,True,cap_api,cap_api,True
Adjustment information for claim 253491357048008 sequence 001.,reversal_info,reversal_info,True,cap_api,benefits_api,False
R&R report for claim 253603736282009 sequence 001.,reversal_info,claim_status,False,cap_api,claim_history_search,False
Claim modifications for claim 260021649904000 sequence 005.,reversal_info,approval_info,False,cap_api,benefits_api,False
Reversal status for claim 260054207073000 sequence 001.,reversal_info,reversal_info,True,cap_api,benefits_api,False
Adjustment details for claim 260061828565000 sequence 001.,reversal_info,reversal_info,True,cap_api,benefits_api,False
Manual changes on claim 231181462825000 sequence 001.,audit_info,audit_info,True,benefits_api,benefits_api,True
Reversal information for claim 240060164045000 sequence 001.,reversal_info,reversal_info,True,cap_api,benefits_api,False
Modification details for claim 242831720377166 sequence 002.,audit_info,reversal_info,False,benefits_api,benefits_api,True
R&R status for claim 242905816136000 sequence 001.,claim_status,approval_info,False,cap_api,benefits_api,False
Adjustment summary for claim 251838615925008 sequence 001.,reversal_info,reversal_info,True,cap_api,benefits_api,False
Claim 253136857840000 sequence 001 reversal details.,reversal_info,reversal_info,True,cap_api,cap_api,True
Resubmissions for claim 253361498968006 sequence 017.,rejection_reasons,daw_info,False,cap_api,claim_history_search,False
Reversal report for claim 253491357048008 sequence 001.,reversal_info,reversal_info,True,cap_api,benefits_api,False
What is the RX number for claim 130041467416065 sequence 001?,rx_details,daw_info,False,cap_api,claim_history_search,False
Prescription details for claim 132435151040074 sequence 001.,rx_details,drug_info,False,cap_api,claim_history_search,False
Quantity dispensed on claim 150692388845000 sequence 001.,rx_details,rx_details,True,cap_api,claim_history_search,False
Days supply for claim 160060096136030 sequence 001.,rx_details,approval_info,False,cap_api,claim_history_search,False
Fill number for claim 180571470939000 sequence 001.,fill_date_info,approval_info,False,claim_history_search,claim_history_search,True
RX details for claim 191406379285000 sequence 001.,rx_details,date_range_claims,False,cap_api,claim_history_search,False
Prescription number for claim 201503823714118 sequence 001.,rx_details,rx_details,True,cap_api,claim_history_search,False
Quantity and days supply for claim 201752592251000 sequence 001.,rx_details,rx_details,True,cap_api,claim_history_search,False
RX information for claim 201990819198000 sequence 001.,rx_details,drug_info,False,cap_api,claim_history_search,False
Prescription fill details for claim 211263773300000 sequence 004.,rx_details,rx_details,True,cap_api,claim_history_search,False
RX number and fill count for claim 220133725669000 sequence 001.,rx_details,rx_details,True,cap_api,claim_history_search,False
Dispensing quantity for claim 220992183436835 sequence 002.,rx_details,rx_details,True,cap_api,claim_history_search,False
Days supply for this prescription for claim 221172865083001 sequence 001.,rx_details,rx_details,True,cap_api,claim_history_search,False
Fill number information for claim 221663541811000 sequence 001.,approval_info,approval_info,True,benefits_api,claim_history_search,False
RX details for claim 221775171449000 sequence 003.,rx_details,daw_info,False,cap_api,cap_api,True
Prescription strength and quantity for claim 222492018072002 sequence 001.,rx_details,rx_details,True,cap_api,claim_history_search,False
Prescription summary for claim 222492117457002 sequence 001.,rx_details,drug_info,False,cap_api,claim_history_search,False
RX number for claim 230381673488000 sequence 001.,rx_details,daw_info,False,cap_api,claim_history_search,False
Fill details for claim 230624075311000 sequence 002.,claim_status,claim_status,True,cap_api,cap_api,True
Prescription information for claim 231181462825000 sequence 001.,rx_details,drug_info,False,cap_api,claim_history_search,False
What are the settlement codes for claim 130041467416065 sequence 001?,settlement_info,settlement_info,True,cap_api,cap_api,True
Pharmacy response for claim 150692388845000 sequence 001.,settlement_info,settlement_info,True,cap_api,cap_api,True
Settlement information sent to the pharmacy for claim 160060096136030 sequence 001.,settlement_info,settlement_info,True,cap_api,cap_api,True
Feedback codes for claim 180571470939000 sequence 001.,settlement_info,approval_info,False,cap_api,benefits_api,False
What was sent back to the pharmacy for claim 191406379285000 sequence 001?,settlement_info,daw_info,False,cap_api,cap_api,True
Settlement details for claim 220133725669000 sequence 001.,claim_status,claim_status,True,cap_api,cap_api,True
Pharmacy response codes for claim 220992183436835 sequence 002.,settlement_info,settlement_info,True,cap_api,cap_api,True
Settlement information for claim 222492018072002 sequence 001.,claim_status,claim_status,True,cap_api,cap_api,True
Settlement report for claim 222492117457002 sequence 001.,claim_status,claim_status,True,cap_api,cap_api,True
Response sent to the pharmacy for claim 230381673488000 sequence 001.,settlement_info,settlement_info,True,cap_api,cap_api,True
Settlement codes for claim 241770599260003 sequence 001.,settlement_info,settlement_info,True,cap_api,cap_api,True
Pharmacy feedback for claim 241771076695002 sequence 001.,settlement_info,daw_info,False,cap_api,claim_history_search,False
Settlement status for claim 241774768475148 sequence 003.,claim_status,claim_status,True,cap_api,cap_api,True
Response codes for claim 242005504278000 sequence 001.,rejection_reasons,rejection_reasons,True,cap_api,cap_api,True
Settlement details for claim 242055403386000 sequence 001.,claim_status,claim_status,True,cap_api,cap_api,True
Pharmacy response for claim 242772404022000 sequence 003.,settlement_info,daw_info,False,cap_api,cap_api,True
Settlement summary for claim 242831720377166 sequence 002.,claim_status,claim_status,True,cap_api,cap_api,True
Codes sent to the pharmacy for claim 242831738080166 sequence 001.,settlement_info,settlement_info,True,cap_api,cap_api,True
Settlement feedback for claim 243122443413000 sequence 001.,claim_status,claim_status,True,cap_api,cap_api,True
Response information for claim 250023213779000 sequence 001.,claim_status,claim_status,True,cap_api,cap_api,True
